$OR;D2
* From-Time  To-Time
8.00 9.00
* Factor
1.00
	22	22	117.550907137
	22	23	5.58130676691
	22	25	14.7689963678
	22	29	2.66185399653
	22	30	1.88905767495
	22	31	1.28799386929
	22	32	1.71732515905
	22	34	2.23252270676
	22	35	20.5220356506
	22	42	4.12158038172
	22	48	42.8472627183
	22	51	2.91945277038
	23	7	9.35942211682
	23	14	15.3700601735
	23	22	27.9065338346
	23	30	4.55091167148
	23	32	2.23252270676
	23	48	35.6344970503
	24	14	1.803191417
	24	34	1.37386012724
	24	48	2.23252270676
	25	7	3.4346503181
	25	14	6.35410308848
	25	22	11.2484797918
	25	30	21.3806982302
	25	48	11.4202123077
	27	7	4.37917915558
	27	14	1.71732515905
	27	30	9.53115463272
	27	34	1.71732515905
	27	48	10.4756834702
	28	5	0.772796321572
	28	7	3.69224909196
	29	7	15.7135252053
	29	13	0.68693006362
	29	14	4.63677792943
	29	30	2.23252270676
	29	34	25.4164123539
	29	48	5.40957425101
	29	50	1.6314589011
	30	7	5.15197547715
	30	9	1.20212761133
	30	14	40.1854087218
	30	19	1.88905767495
	30	22	11.5919448236
	30	25	4.37917915558
	30	30	82.6892064082
	30	48	33.1443755697
	30	51	1.6314589011
	31	5	1.54559264314
	31	7	2.57598773857
	31	14	15.3700601735
	31	34	1.54559264314
	31	39	7.12689941005
	31	48	16.6580540428
	32	1	7.12689941005
	32	5	2.57598773857
	32	7	1.71732515905
	32	14	9.61702089068
	32	22	6.43996934644
	32	23	1.6314589011
	32	34	13.9962000463
	32	35	1.37386012724
	32	38	4.37917915558
	32	39	31.7705154424
	32	44	2.14665644881
	32	46	29.6238589936
	32	48	22.9262908733
	33	4	1.6314589011
	33	5	7.55623069982
	33	14	11.9354098554
	33	22	6.95516689415
	33	32	4.63677792943
	33	39	5.0661092192
	33	46	7.12689941005
	33	48	15.6276589473
	34	1	31.2553178947
	34	5	6.52583560439
	34	6	4.29331289762
	34	7	13.1375374667
	34	8	9.44528837477
	34	10	4.03571412377
	34	11	8.32902702139
	34	12	20.2644368768
	34	13	8.8442245691
	34	14	97.2006040022
	34	15	11.1626135338
	34	16	15.7993914633
	34	17	24.9012148062
	34	18	1.20212761133
	34	19	28.2499988664
	34	20	31.8563817004
	34	22	41.7310013649
	34	23	3.77811534991
	34	25	6.61170186234
	34	27	6.8693006362
	34	29	14.7689963678
	34	30	36.6648921457
	34	33	3.69224909196
	34	34	69.9810002313
	34	39	4.98024296124
	34	46	2.23252270676
	34	48	31.3411841527
	34	51	8.58662579525
	35	5	34.7758344707
	35	10	3.69224909196
	35	14	89.4726407865
	35	22	2.74772025448
	35	32	2.74772025448
	35	34	27.4772025448
	35	39	62.5106357894
	35	46	63.0258333371
