osm_id,ZT13,,,,,,,,,,,,,,,,
133806980,6,133806980#0,133806980#1,,,,,,,,,,,,,,
354710423,6,354710423,-354710423,,,,,,,,,,,,,,
377233443,10,377233443,-377233443,,,,,,,,,,,,,,
464718641,10,464718641,-464718641,,,,,,,,,,,,,,
60116377,14,60116377#0,60116377#1,,,,,,,,,,,,,,
60116379,14,60116379,-60116379,,,,,,,,,,,,,,
356391598,14,356391598,-356391598,,,,,,,,,,,,,,
464718640,14,356391598,-356391598,,,,,,,,,,,,,,
48678925,10,48678925,,,,,,,,,,,,,,,
141607352,46,141607352#0,141607352#1,141607352#2,,,,,,,,,,,,,
20112457,2,20112457,-20112457,,,,,,,,,,,,,,
20318499,48,20318499,,,,,,,,,,,,,,,
454001075,48,454001075#0,454001075#1,,,,,,,,,,,,,,
19937716,51,19937716#0,19937716#1,19937716#2,,,,,,,,,,,,,
39368249,32,39368249#0,,,,,,,,,,,,,,,
39368249,33,39368249#0,,,,,,,,,,,,,,,
86980320,32,86980320,-86980320,,,,,,,,,,,,,,
464943571,32,86980320,-86980320,,,,,,,,,,,,,,
34144392,34,34144392#0,,,,,,,,,,,,,,,
48921998,34,453989323#0,,,,,,,,,,,,,,,
329384205,34,329384205,,,,,,,,,,,,,,,
453989322,34,453989322,,,,,,,,,,,,,,,
453989323,34,453989323#0,,,,,,,,,,,,,,,
48921991,39,48921991#0,48921991#1,,,,,,,,,,,,,,
393659757,39,393659757#3,,,,,,,,,,,,,,,
19908076,44,19908076#0,19908076#1,19908076#2,19908076#3,19908076#4,,,,,,,,,,,
26442468,45,26442468#0,26442468#2,,,,,,,,,,,,,,
115794578,49,115794578#1,,,,,,,,,,,,,,,
36675277,50,36675277,-36675277,,,,,,,,,,,,,,
215446977,50,215446977#1,-215446977#1,,,,,,,,,,,,,,
453989327,50,453989327,-453989327,,,,,,,,,,,,,,
36675279,51,36675279#0,-36675279#0,,,,,,,,,,,,,,
126012206,51,126012206,-126012206,,,,,,,,,,,,,,
126012207,51,126012207#1,-126012207#1,,,,,,,,,,,,,,
191563437,9,465411710#0,-465411710#0,,,,,,,,,,,,,,
465408858,9,465408858#1,-465408858#1,,,,,,,,,,,,,,
465408860,9,465408860#1,-465408860#1,,,,,,,,,,,,,,
465411709,9,465411709,-465411709,,,,,,,,,,,,,,
465411710,9,465411710#0,-465411710#0,,,,,,,,,,,,,,
465411713,9,465411713#0,-465411713#0,,,,,,,,,,,,,,
465411714,9,465411715#1,-465411715#1,,,,,,,,,,,,,,
465411715,9,465411715#1,-465411715#1,,,,,,,,,,,,,,
165257881,13,165257881#0,-165257881#0,,,,,,,,,,,,,,
455083999,13,455083999,-455083999,,,,,,,,,,,,,,
461254935,13,461254935,-461254935,,,,,,,,,,,,,,
465413237,22,465413240#1,-465413240#1,,,,,,,,,,,,,,
465413238,22,465413238,-465413238,,,,,,,,,,,,,,
465413240,22,465413240#1,-465413240#1,,,,,,,,,,,,,,
465413243,22,465413243#1,-465413243#1,,,,,,,,,,,,,,
465413249,30,465413249,-465413249,,,,,,,,,,,,,,
465585477,30,465585477#1,-465585477#1,,,,,,,,,,,,,,
41258632,39,465586406,-465586406,,,,,,,,,,,,,,
329384208,39,329384208,-329384208,,,,,,,,,,,,,,
80278547,9,80278547#0,,,,,,,,,,,,,,,
38956598,8,38956598#1,-38956598#1,,,,,,,,,,,,,,
19892255,11,19892255#0,19892255#1,19892255#2,19892255#4,19892255#5,,,,,,,,,,,
25366817,6,25366817,-25366817,,,,,,,,,,,,,,
19899374,3,19899374#0,19899374#1,,,,,,,,,,,,,,
25367021,3,25367021#0,25367021#1,-25367021#0,-25367021#1,,,,,,,,,,,,
21343730,22,21343730,,,,,,,,,,,,,,,
129587031,2,129587031,-129587031,,,,,,,,,,,,,,
129587033,2,129587031,-129587031,,,,,,,,,,,,,,
352905264,2,41651789,-41651789,,,,,,,,,,,,,,
352905266,2,41651789,,,,,,,,,,,,,,,
453299277,2,492899793#0,492899793#1,-492899793#0,-492899793#1,,,,,,,,,,,,
492899793,2,492899793#0,492899793#1,-492899793#0,-492899793#1,,,,,,,,,,,,
366840862,2,366840862#0,366840862#1,366840862#2,366840862#3,366840862#5,366840862#6,366840862#7,,,,,,,,,
366840862,2,366840861,,,,,,,,,,,,,,,
39368243,44,39368243,,,,,,,,,,,,,,,
19894612,20,19894612,,,,,,,,,,,,,,,
15834351,48,15834351,,,,,,,,,,,,,,,
19899784,4,19899784,,,,,,,,,,,,,,,
118119100,4,118119100,,,,,,,,,,,,,,,
118119100,5,118119100,,,,,,,,,,,,,,,
454867946,4,454867946,,,,,,,,,,,,,,,
19899780,6,19899780,,,,,,,,,,,,,,,
19899781,6,19899781,,,,,,,,,,,,,,,
19899782,6,19899782,,,,,,,,,,,,,,,
313639762,6,313639762,,,,,,,,,,,,,,,
19914256,14,19914256,,,,,,,,,,,,,,,
104476236,14,104476236#0,104476236#1,,,,,,,,,,,,,,
118116148,5,118116148,,,,,,,,,,,,,,,
19895495,14,19895495,,,,,,,,,,,,,,,
104476237,15,104476237,,,,,,,,,,,,,,,
34287027,36,34287027,,,,,,,,,,,,,,,
458303421,36,458303421,,,,,,,,,,,,,,,
