osm_id,ZT13,,,,,,,,,,,,,,,,
455083980,5,455083980#1,-455083980#1,,,,,,,,,,,,,,
465651305,5,465651305#1,,,,,,,,,,,,,,,
233054863,7,-465651305#1,,,,,,,,,,,,,,,
330153472,7,330153472#1,,,,,,,,,,,,,,,
455083979,7,-455083970#1,,,,,,,,,,,,,,,
455083984,7,-41258971#1,,,,,,,,,,,,,,,
134811808,8,-465649965#0,,,,,,,,,,,,,,,
465649268,8,-455083975#0,,,,,,,,,,,,,,,
465649963,8,-465649964#0,,,,,,,,,,,,,,,
455083975,11,455083975#0,,,,,,,,,,,,,,,
465649964,11,465649964#0,,,,,,,,,,,,,,,
465649965,11,465649965#0,,,,,,,,,,,,,,,
439879818,12,-455083972#0,,,,,,,,,,,,,,,
455083983,12,-455083982#0,,,,,,,,,,,,,,,
455083972,16,455083972#0,,,,,,,,,,,,,,,
455083982,16,455083982#0,,,,,,,,,,,,,,,
455083967,17,-385879098#0,,,,,,,,,,,,,,,
453981160,19,-453963142,,,,,,,,,,,,,,,
453981162,19,-453981161#0,,,,,,,,,,,,,,,
453963142,23,453963142,,,,,,,,,,,,,,,
453981161,23,453981161#0,,,,,,,,,,,,,,,
455083978,23,455083978#0,,,,,,,,,,,,,,,
453959371,24,-455083978#0,,,,,,,,,,,,,,,
455083977,24,-455083974#0,,,,,,,,,,,,,,,
455083974,27,455083974#0,,,,,,,,,,,,,,,
41258628,28,-4687530#0,,,,,,,,,,,,,,,
456314148,28,-456314147#0,,,,,,,,,,,,,,,
456314150,28,-456314146,,,,,,,,,,,,,,,
456314146,31,456314146,,,,,,,,,,,,,,,
456314147,31,456314147#0,,,,,,,,,,,,,,,
464936534,33,-464936533,,,,,,,,,,,,,,,
464943210,33,-464943212#0,,,,,,,,,,,,,,,
4687530,35,4687530#0,,,,,,,,,,,,,,,
464936533,35,464936533,,,,,,,,,,,,,,,
464943212,35,464943212#0,,,,,,,,,,,,,,,
300627773,14,-385754231,385754231,,,,,,,,,,,,,,
